Batch Data Path,"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\QuantResults\VOC10.batch.bin",,,,,,,,
Analysis Time,2026-03-31 오후 2:05:46,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,
NJ-05.D,,Sample,,,,,3695,,ND
NJ-06.D,,Sample,,,,,3514,,ND
GS 26-03-30.D,,Sample,,,,,3741,,ND
MBK.D,,Blank,,,,,3938,,ND
-CCV-.D,,QC,5.993,,225763,,3650,,0.202
TCE,,,,,,,,,
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,6.232,,5150,,4486,,0.007
VOC10 ST-02.D,,Cal,6.232,,9323,,2904,,0.026
VOC10 ST-03.D,,Cal,6.232,,20789,,3514,,0.051
VOC10 ST-04.D,,Cal,6.232,,40609,,3313,,0.108
VOC10 ST-05.D,,Cal,6.232,,86981,,4282,,0.181
VOC10 ST-06.D,,Cal,6.232,,173160,,3818,,0.407
BK-.D,,Blank,,,,,3913,,ND
FBK(NJ 26-03-26).D,,Blank,,,,,3529,,ND
NJ-01.D,,Sample,,,,,4407,,ND
NJ-02.D,,Sample,,,,,3678,,ND
NJ-03.D,,Sample,,,,,3760,,ND
NJ-04.D,,Sample,,,,,3521,,ND
NJ-05.D,,Sample,,,,,3695,,ND
NJ-06.D,,Sample,,,,,3514,,ND
GS 26-03-30.D,,Sample,,,,,3741,,ND
MBK.D,,Blank,,,,,3938,,ND
-CCV-.D,,QC,6.232,,82111,,3650,,0.201
Toluene,,,,,,,,,
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,6.851,,17318,,4486,,0.006
VOC10 ST-02.D,,Cal,6.851,,29877,,2904,,0.024
VOC10 ST-03.D,,Cal,6.851,,69394,,3514,,0.052
VOC10 ST-04.D,,Cal,6.851,,131457,,3313,,0.109
VOC10 ST-05.D,,Cal,6.851,,279582,,4282,,0.183
VOC10 ST-06.D,,Cal,6.851,,545433,,3818,,0.406
BK-.D,,Blank,,,,,3913,,ND
FBK(NJ 26-03-26).D,,Blank,,,,,3529,,ND
NJ-01.D,,Sample,,,,,4407,,ND
NJ-02.D,,Sample,,,,,3678,,ND
NJ-03.D,,Sample,,,,,3760,,ND
NJ-04.D,,Sample,,,,,3521,,ND
NJ-05.D,,Sample,,,,,3695,,ND
NJ-06.D,,Sample,,,,,3514,,ND
GS 26-03-30.D,,Sample,,,,,3741,,ND
MBK.D,,Blank,,,,,3938,,ND
-CCV-.D,,QC,6.851,,260760,,3650,,0.2
PCE,,,,,,,,,
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,7.145,,5347,,4486,,0.009
VOC10 ST-02.D,,Cal,7.145,,10266,,2904,,0.028
VOC10 ST-03.D,,Cal,7.145,,21655,,3514,,0.049
VOC10 ST-04.D,,Cal,7.145,,43948,,3313,,0.107
VOC10 ST-05.D,,Cal,7.145,,95064,,4282,,0.179
VOC10 ST-06.D,,Cal,7.145,,192502,,3818,,0.408
BK-.D,,Blank,,,,,3913,,ND
FBK(NJ 26-03-26).D,,Blank,,,,,3529,,ND
NJ-01.D,,Sample,,,,,4407,,ND
NJ-02.D,,Sample,,,,,3678,,ND
NJ-03.D,,Sample,,,,,3760,,ND
NJ-04.D,,Sample,,,,,3521,,ND
NJ-05.D,,Sample,,,,,3695,,ND
NJ-06.D,,Sample,,,,,3514,,ND
GS 26-03-30.D,,Sample,,,,,3741,,ND
MBK.D,,Blank,,,,,3938,,ND
-CCV-.D,,QC,7.145,,88486,,3650,,0.196
Xylene,,,,,,,,,
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,7.931,,22601,,4486,,0.007
VOC10 ST-02.D,,Cal,7.931,,38477,,2904,,0.025
VOC10 ST-03.D,,Cal,7.931,,91416,,3514,,0.052
VOC10 ST-04.D,,Cal,7.931,,171715,,3313,,0.108
VOC10 ST-05.D,,Cal,7.931,,369858,,4282,,0.182
VOC10 ST-06.D,,Cal,7.931,,726702,,3818,,0.407
BK-.D,,Blank,0,,0,,3913,,ND
FBK(NJ 26-03-26).D,,Blank,0,,0,,3529,,ND
NJ-01.D,,Sample,0,,0,,4407,,ND
NJ-02.D,,Sample,0,,0,,3678,,ND
NJ-03.D,,Sample,0,,0,,3760,,ND
NJ-04.D,,Sample,0,,0,,3521,,ND
NJ-05.D,,Sample,0,,0,,3695,,ND
NJ-06.D,,Sample,0,,0,,3514,,ND
GS 26-03-30.D,,Sample,7.931,,0,,3741,,ND
MBK.D,,Blank,0,,0,,3938,,ND
-CCV-.D,,QC,7.931,,338333,,3650,,0.196
Calibration,,,,,,,,,
"1,4-DCE",,,,,,,,,
,,,,,,,,,
Cal. Path,Type,Level,Enable,,Conc.,,Response,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-01.D",Calibration,1,x,,0.01,,9052,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-02.D",Calibration,2,x,,0.02,,18414,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-03.D",Calibration,3,x,,0.05,,36879,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-04.D",Calibration,4,x,,0.1,,78075,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-05.D",Calibration,5,x,,0.2,,167297,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\-CCV-.D",QC,5,x,,0.2,,169757,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-06.D",Calibration,6,x,,0.4,,335317,,
Calibration,,,,,,,,,
DCM,,,,,,,,,
,,,,,,,,,
Cal. Path,Type,Level,Enable,,Conc.,,Response,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-01.D",Calibration,1,x,,0.01,,11433,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-02.D",Calibration,2,x,,0.02,,11071,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-03.D",Calibration,3,x,,0.05,,18886,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-04.D",Calibration,4,x,,0.1,,28590,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-05.D",Calibration,5,x,,0.2,,54530,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\-CCV-.D",QC,5,x,,0.2,,50853,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-06.D",Calibration,6,x,,0.4,,96603,,
Calibration,,,,,,,,,
Chloroform,,,,,,,,,
,,,,,,,,,
Cal. Path,Type,Level,Enable,,Conc.,,Response,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-01.D",Calibration,1,x,,0.01,,7548,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-02.D",Calibration,2,x,,0.02,,12692,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-03.D",Calibration,3,x,,0.05,,30811,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-04.D",Calibration,4,x,,0.1,,57360,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-05.D",Calibration,5,x,,0.2,,122365,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\-CCV-.D",QC,5,x,,0.2,,115029,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-06.D",Calibration,6,x,,0.4,,237159,,
Calibration,,,,,,,,,
Carbon Chloride,,,,,,,,,
,,,,,,,,,
Cal. Path,Type,Level,Enable,,Conc.,,Response,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-01.D",Calibration,1,x,,0.01,,10308,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-02.D",Calibration,2,x,,0.02,,21417,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-03.D",Calibration,3,x,,0.05,,42903,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-04.D",Calibration,4,x,,0.1,,89814,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-05.D",Calibration,5,x,,0.2,,192937,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\-CCV-.D",QC,5,x,,0.2,,192626,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-06.D",Calibration,6,x,,0.4,,390081,,
Calibration,,,,,,,,,
"1,2-DCE",,,,,,,,,
,,,,,,,,,
Cal. Path,Type,Level,Enable,,Conc.,,Response,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-01.D",Calibration,1,x,,0.01,,3838,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-02.D",Calibration,2,x,,0.02,,6819,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-03.D",Calibration,3,x,,0.05,,16421,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-04.D",Calibration,4,x,,0.1,,30932,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-05.D",Calibration,5,x,,0.2,,64978,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\-CCV-.D",QC,5,x,,0.2,,62331,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-06.D",Calibration,6,x,,0.4,,120029,,
Calibration,,,,,,,,,
Benzene,,,,,,,,,
,,,,,,,,,
Cal. Path,Type,Level,Enable,,Conc.,,Response,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-01.D",Calibration,1,x,,0.01,,14721,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-02.D",Calibration,2,x,,0.02,,25849,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-03.D",Calibration,3,x,,0.05,,59313,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-04.D",Calibration,4,x,,0.1,,113385,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-05.D",Calibration,5,x,,0.2,,239523,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\-CCV-.D",QC,5,x,,0.2,,225763,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-06.D",Calibration,6,x,,0.4,,468424,,
Calibration,,,,,,,,,
TCE,,,,,,,,,
,,,,,,,,,
Cal. Path,Type,Level,Enable,,Conc.,,Response,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-01.D",Calibration,1,x,,0.01,,5150,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-02.D",Calibration,2,x,,0.02,,9323,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-03.D",Calibration,3,x,,0.05,,20789,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-04.D",Calibration,4,x,,0.1,,40609,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-05.D",Calibration,5,x,,0.2,,86981,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\-CCV-.D",QC,5,x,,0.2,,82111,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-06.D",Calibration,6,x,,0.4,,173160,,
Calibration,,,,,,,,,
Toluene,,,,,,,,,
,,,,,,,,,
Cal. Path,Type,Level,Enable,,Conc.,,Response,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-01.D",Calibration,1,x,,0.01,,17318,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-02.D",Calibration,2,x,,0.02,,29877,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-03.D",Calibration,3,x,,0.05,,69394,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-04.D",Calibration,4,x,,0.1,,131457,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-05.D",Calibration,5,x,,0.2,,279582,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\-CCV-.D",QC,5,x,,0.2,,260760,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-06.D",Calibration,6,x,,0.4,,545433,,
Calibration,,,,,,,,,
PCE,,,,,,,,,
,,,,,,,,,
Cal. Path,Type,Level,Enable,,Conc.,,Response,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-01.D",Calibration,1,x,,0.01,,5347,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-02.D",Calibration,2,x,,0.02,,10266,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-03.D",Calibration,3,x,,0.05,,21655,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-04.D",Calibration,4,x,,0.1,,43948,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-05.D",Calibration,5,x,,0.2,,95064,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\-CCV-.D",QC,5,x,,0.2,,88486,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-06.D",Calibration,6,x,,0.4,,192502,,
Calibration,,,,,,,,,
Xylene,,,,,,,,,
,,,,,,,,,
Cal. Path,Type,Level,Enable,,Conc.,,Response,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-01.D",Calibration,1,x,,0.01,,22601,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-02.D",Calibration,2,x,,0.02,,38477,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-03.D",Calibration,3,x,,0.05,,91416,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-04.D",Calibration,4,x,,0.1,,171715,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-05.D",Calibration,5,x,,0.2,,369858,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\-CCV-.D",QC,5,x,,0.2,,338333,,
"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\VOC10 ST-06.D",Calibration,6,x,,0.4,,726702,,
Batch Data Path,"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\QuantResults\VOC10.batch.bin",,,,,,,,
Analysis Time,2026-03-31 오후 2:05:46,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Report Generation Time,2026-04-10 오전 11:17:58,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Calibration Last Update,2026-03-31 오후 2:05:46,Batch State,Processed,,,,,,
Analyze Quant Version,10.2,Report Quant Version,10.2,,,,,,
Acq. Date-Time,2026-03-30 오후 5:58:47,Data File,VOC10 ST-01.D,,,,,,
Type,Cal,Name,VOC10 ST-01,,,,,,
Dil.,1,Acq. Method File,2025 VOCs(10) NEW,,,,,,
Sample Chromatogram,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,,RT,Resp.,ISTD Resp,,Final Conc.,Units,,
"1,4-DCE",,4.996,9052,4486,,0.008,mg/L,,
DCM,,5.153,11433,4486,,0.003,mg/L,,
Chloroform,,5.72,7548,4486,,0.006,mg/L,,
Carbon Chloride,,5.922,10308,4486,,0.008,mg/L,,
"1,2-DCE",,5.98,3838,4486,,0.002,mg/L,,
Benzene,,5.993,14721,4486,,0.006,mg/L,,
TCE,,6.232,5150,4486,,0.007,mg/L,,
Toluene,,6.851,17318,4486,,0.006,mg/L,,
PCE,,7.145,5347,4486,,0.009,mg/L,,
Xylene,,7.931,22601,4486,,0.007,mg/L,,
"1,4-DCE",,,,,,,,,
,,,,,,,,,
DCM,,,,,,,,,
,,,,,,,,,
Chloroform,,,,,,,,,
,,,,,,,,,
Carbon Chloride,,,,,,,,,
,,,,,,,,,
"1,2-DCE",,,,,,,,,
,,,,,,,,,
Benzene,,,,,,,,,
,,,,,,,,,
TCE,,,,,,,,,
,,,,,,,,,
Toluene,,,,,,,,,
,,,,,,,,,
PCE,,,,,,,,,
,,,,,,,,,
Xylene,,,,,,,,,
,,,,,,,,,
Batch Data Path,"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\QuantResults\VOC10.batch.bin",,,,,,,,
Analysis Time,2026-03-31 오후 2:05:46,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Report Generation Time,2026-04-10 오전 11:17:58,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Calibration Last Update,2026-03-31 오후 2:05:46,Batch State,Processed,,,,,,
Analyze Quant Version,10.2,Report Quant Version,10.2,,,,,,
Acq. Date-Time,2026-03-30 오후 6:11:37,Data File,VOC10 ST-02.D,,,,,,
Type,Cal,Name,VOC10 ST-02,,,,,,
Dil.,1,Acq. Method File,2025 VOCs(10) NEW,,,,,,
Sample Chromatogram,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,,RT,Resp.,ISTD Resp,,Final Conc.,Units,,
"1,4-DCE",,4.996,18414,2904,,0.028,mg/L,,
DCM,,5.153,11071,2904,,0.025,mg/L,,
Chloroform,,5.72,12692,2904,,0.023,mg/L,,
Carbon Chloride,,5.922,21417,2904,,0.029,mg/L,,
"1,2-DCE",,5.98,6819,2904,,0.022,mg/L,,
Benzene,,5.993,25849,2904,,0.025,mg/L,,
TCE,,6.232,9323,2904,,0.026,mg/L,,
Toluene,,6.851,29877,2904,,0.024,mg/L,,
PCE,,7.145,10266,2904,,0.028,mg/L,,
Xylene,,7.931,38477,2904,,0.025,mg/L,,
"1,4-DCE",,,,,,,,,
,,,,,,,,,
DCM,,,,,,,,,
,,,,,,,,,
Chloroform,,,,,,,,,
,,,,,,,,,
Carbon Chloride,,,,,,,,,
,,,,,,,,,
"1,2-DCE",,,,,,,,,
,,,,,,,,,
Benzene,,,,,,,,,
,,,,,,,,,
TCE,,,,,,,,,
,,,,,,,,,
Toluene,,,,,,,,,
,,,,,,,,,
PCE,,,,,,,,,
,,,,,,,,,
Xylene,,,,,,,,,
,,,,,,,,,
Batch Data Path,"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\QuantResults\VOC10.batch.bin",,,,,,,,
Analysis Time,2026-03-31 오후 2:05:46,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Report Generation Time,2026-04-10 오전 11:17:58,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Calibration Last Update,2026-03-31 오후 2:05:46,Batch State,Processed,,,,,,
Analyze Quant Version,10.2,Report Quant Version,10.2,,,,,,
Acq. Date-Time,2026-03-30 오후 6:24:33,Data File,VOC10 ST-03.D,,,,,,
Type,Cal,Name,VOC10 ST-03,,,,,,
Dil.,1,Acq. Method File,2025 VOCs(10) NEW,,,,,,
